"Community Planning – Etobicoke York District",8
"Central Section",9
"South Section",9
"East Section",9
"Etobicoke York Committee of Adjustment",9
"Community Planning – North York District",8
"Central Section",9
"East Section",9
"West Section",9
"North York Committee of Adjustment",9
"Community Planning – Scarborough District",8
"Central Section",9
"North Section",9
"Waterfront Section",9
"Scarborough Committee of Adjustment",9
"Community Planning – Toronto & East York District",8
"Downtown Section",9
"East Section",9
"Midtown Section",9
"West Section",9
"Toronto & East York Committee of Adjustment",9
"Strategic Initiatives, Policy & Analysis",8
"Policy",10
"Research and Information",10
"Legislation and Zoning",10
"Strategic Initiatives",10
"Business Performance and Standards",10
"Transportation Planning",8
"Toronto & East York District – Wards 14, 18-22, 27-32",9
"Transit Implementation Unit",9
"Transit Implementation Unit",9
"Metrolinx Transit Program",9
"Etobicoke York District – Wards 1-7, 11-13 & 17",9
"North York District – Wards 8-10, 15, 16, 23-26, 33, 34",9
"Scarborough District",9
"–",10
"Wards 35-44",9
"Urban Design",8
"Civic Design",9
"Public Art",9
"Etobicoke York District",9
"North York District",9
"Scarborough District",9
"Toronto & East York District",9
"Graphics & Visualization",10
"Etobicoke York District",9
"North York District",9
"Scarborough District",9
"Toronto & East York District",9
"Heritage Preservation Services",10
"Waterfront Secretariat",8
